path	class	in_feature_set	candidate_state	upstream_state	candidate_differs_upstream	accepted_differs_upstream	candidate_blob	upstream_blob
test/scripts/mantis-build-telegram-evidence.test.ts	test-file	no	present	present	no	yes	e474a4d8e13b50e4cbf5982f843594b5438b8630	e474a4d8e13b50e4cbf5982f843594b5438b8630
test/scripts/mantis-publish-pr-evidence.test.ts	test-file	no	present	present	no	yes	59b9d2cafd6e9dc26ae4ddcffe5f7508c262ee6c	59b9d2cafd6e9dc26ae4ddcffe5f7508c262ee6c
test/scripts/mantis-telegram-desktop-proof-workflow.test.ts	test-file	no	present	present	no	yes	a76196807f3a4d00f89c77afe6fdea18476d0127	a76196807f3a4d00f89c77afe6fdea18476d0127
test/scripts/mantis-web-ui-chat-evidence.test.ts	test-file	no	present	present	no	yes	ae52c11c79ad550886b9a6f6ee7738459a0da409	ae52c11c79ad550886b9a6f6ee7738459a0da409
test/scripts/run-vitest.test.ts	test-file	no	present	present	no	yes	b0c66dae65f85b2fc616ce500dce76db5f31fe88	b0c66dae65f85b2fc616ce500dce76db5f31fe88
test/scripts/run-with-lease-fence.test.ts	test-file	no	present	present	no	yes	1f55f9336c53a1b7a3f611fe1b3747a30fcf6c10	1f55f9336c53a1b7a3f611fe1b3747a30fcf6c10
test/scripts/telegram-mantis-lane.test.ts	test-file	no	present	present	no	yes	590489361900e844fd0fa06cab69507c0ad0153b	590489361900e844fd0fa06cab69507c0ad0153b
test/scripts/telegram-mantis-sut.test.ts	test-file	no	present	present	no	yes	c31fd7c70bfcc417ff6d3dfcea0de9e0ee9b3ebe	c31fd7c70bfcc417ff6d3dfcea0de9e0ee9b3ebe
test/scripts/vitest-process-diagnostics.test.ts	test-file	no	present	present	no	yes	ac0248b02ac0800f2e87bc29bbaa21dc16c86871	ac0248b02ac0800f2e87bc29bbaa21dc16c86871
test/scripts/vitest-process-group.test.ts	test-file	no	present	present	no	yes	19ed482e5abbfd65bd2f9292f4d28d22e39b81ce	19ed482e5abbfd65bd2f9292f4d28d22e39b81ce
test/scripts/write-cli-startup-metadata.test.ts	test-file	no	present	present	no	yes	8a489ac98a59257508e28c3b5a3809e3ce067580	8a489ac98a59257508e28c3b5a3809e3ce067580
test/vitest-ui-e2e-config.test.ts	test-file	no	present	present	no	yes	ff8ab63bc702124a1819dac86fca3d6a6e6acf2e	ff8ab63bc702124a1819dac86fca3d6a6e6acf2e
test/vitest/vitest.ui-e2e.sequencer.ts	test-support-fixture-snapshot	no	present	present	no	yes	aaae9754908b1316af23d8188277de46511c0362	aaae9754908b1316af23d8188277de46511c0362
ui/src/api/gateway.node.test.ts	test-file	no	present	present	no	yes	303207a863e1531e15e0a90530141df5719122da	303207a863e1531e15e0a90530141df5719122da
ui/src/app/app-host-native-shell.test.ts	test-file	no	present	present	no	yes	8d37833dc7c450144e4e56947eae958065b9bb6e	8d37833dc7c450144e4e56947eae958065b9bb6e
ui/src/app/app-host-pairing-access.test.ts	test-file	no	present	present	no	yes	d54e8f722571bc3aa1db13bc731ce6fd7ee33387	d54e8f722571bc3aa1db13bc731ce6fd7ee33387
ui/src/app/app-host.dock-suppression.test.ts	test-file	no	present	present	no	yes	c715d4619c9d55c783d2b6d862cc85248c39bfe5	c715d4619c9d55c783d2b6d862cc85248c39bfe5
ui/src/app/app-host.document-title.test.ts	test-file	no	present	present	no	yes	20e94401a5e72cad3b6bd0176db4a1b66417021a	20e94401a5e72cad3b6bd0176db4a1b66417021a
ui/src/app/bootstrap.test.ts	test-file	no	present	present	no	yes	c3188ffda7743f7c9fa055f17b1cdac8a9305e56	c3188ffda7743f7c9fa055f17b1cdac8a9305e56
ui/src/app/control-ui-environment.test.ts	test-file	no	present	present	no	yes	01968225a4f54041068acf1d36c4dc39d100cccf	01968225a4f54041068acf1d36c4dc39d100cccf
ui/src/app/exec-approval.test.ts	test-file	no	present	present	no	yes	451bf573e6ec27c930fdb3f06d1c0f692caff4f0	451bf573e6ec27c930fdb3f06d1c0f692caff4f0
ui/src/app/mount-fallback.test.ts	test-file	no	present	present	no	yes	5e16fbb511121c3f6732c2452487306ec07d4742	5e16fbb511121c3f6732c2452487306ec07d4742
ui/src/components/app-sidebar-session-catalogs.test.ts	test-file	no	present	present	no	yes	80750c76ef0fc75b0f1184505cbb3e65c5eb5b7c	80750c76ef0fc75b0f1184505cbb3e65c5eb5b7c
ui/src/components/exec-approval-card.test.ts	test-file	no	present	present	no	yes	41daec9de09e5341bc04a1832cf92ad00cecd47d	41daec9de09e5341bc04a1832cf92ad00cecd47d
ui/src/components/exec-approval.test.ts	test-file	no	present	present	no	yes	c4603feab8e216b932a4655a5a975515ba294b7f	c4603feab8e216b932a4655a5a975515ba294b7f
ui/src/components/login-gate.test.ts	test-file	no	present	present	no	yes	3c1f723ad4fd8926496637caee53ead759039100	3c1f723ad4fd8926496637caee53ead759039100
ui/src/components/session-data-controller-events.test.ts	test-file	no	present	present	no	yes	fa68640b45bab8d3285e83ce9cd22e10c54680cb	fa68640b45bab8d3285e83ce9cd22e10c54680cb
ui/src/components/session-data-controller.event-refresh.test.ts	test-file	no	present	present	no	yes	1567cd3659226a97cfd9ec3d45882c1a57015ec1	1567cd3659226a97cfd9ec3d45882c1a57015ec1
